,ilocano,kapampangan,maguindanao,ibanag,tausug,pangasinan,kankanaey,tagalog,cebuano,hiligaynon,bikol,maranao,waray,chavacano,spanish,english
ilocano,1.0,0.389,0.475,0.463,0.387,0.493,0.438,0.394,0.403,0.431,0.464,0.5,0.425,0.258,0.16,0.131
kapampangan,0.389,1.0,0.477,0.397,0.483,0.474,0.396,0.779,0.599,0.61,0.608,0.43,0.411,0.225,0.136,0.179
maguindanao,0.475,0.477,1.0,0.514,0.603,0.563,0.488,0.497,0.531,0.552,0.654,0.638,0.483,0.296,0.17,0.119
ibanag,0.463,0.397,0.514,1.0,0.471,0.553,0.492,0.46,0.473,0.532,0.521,0.462,0.565,0.394,0.2,0.124
tausug,0.387,0.483,0.603,0.471,1.0,0.559,0.571,0.541,0.551,0.594,0.69,0.587,0.623,0.314,0.158,0.152
pangasinan,0.493,0.474,0.563,0.553,0.559,1.0,0.684,0.506,0.485,0.552,0.672,0.665,0.575,0.39,0.243,0.258
kankanaey,0.438,0.396,0.488,0.492,0.571,0.684,1.0,0.481,0.414,0.453,0.594,0.517,0.457,0.406,0.232,0.176
tagalog,0.394,0.779,0.497,0.46,0.541,0.506,0.481,1.0,0.771,0.796,0.727,0.509,0.498,0.262,0.141,0.182
cebuano,0.403,0.599,0.531,0.473,0.551,0.485,0.414,0.771,1.0,0.858,0.723,0.57,0.602,0.301,0.146,0.149
hiligaynon,0.431,0.61,0.552,0.532,0.594,0.552,0.453,0.796,0.858,1.0,0.757,0.584,0.644,0.357,0.166,0.161
bikol,0.464,0.608,0.654,0.521,0.69,0.672,0.594,0.727,0.723,0.757,1.0,0.676,0.691,0.323,0.188,0.198
maranao,0.5,0.43,0.638,0.462,0.587,0.665,0.517,0.509,0.57,0.584,0.676,1.0,0.58,0.321,0.181,0.167
waray,0.425,0.411,0.483,0.565,0.623,0.575,0.457,0.498,0.602,0.644,0.691,0.58,1.0,0.295,0.179,0.172
chavacano,0.258,0.225,0.296,0.394,0.314,0.39,0.406,0.262,0.301,0.357,0.323,0.321,0.295,1.0,0.625,0.195
spanish,0.16,0.136,0.17,0.2,0.158,0.243,0.232,0.141,0.146,0.166,0.188,0.181,0.179,0.625,1.0,0.236
english,0.131,0.179,0.119,0.124,0.152,0.258,0.176,0.182,0.149,0.161,0.198,0.167,0.172,0.195,0.236,1.0
