lang,x,y,family
ilocano,-0.04987919388658336,-0.0978711379124468,Northern Luzon
kapampangan,-0.15649564519979894,0.20469856449964374,Central Luzon
maguindanao,-0.1372263927749795,-0.09788196612329883,Mindanao-Sulu
ibanag,-0.03707281852331512,-0.1725241062725961,Northern Luzon
tausug,-0.1386445878899671,-0.039732065080622735,Mindanao-Sulu
pangasinan,-0.009152621786419287,-0.05035680240449622,Northern Luzon
kankanaey,0.014108974856940432,-0.13213420473948578,Northern Luzon
tagalog,-0.18630247167360367,0.16487002188317934,Central Luzon
cebuano,-0.19005624357303622,0.08923855737254949,Southern Luzon-Visayan
hiligaynon,-0.16961023511611298,0.05017468689490769,Southern Luzon-Visayan
bikol,-0.16156434666125735,0.031224130878849007,Southern Luzon-Visayan
maranao,-0.11189161577877244,-0.06725409945303085,Mindanao-Sulu
waray,-0.11628170339689436,-0.031905974519523865,Southern Luzon-Visayan
chavacano,0.40987379381734973,-0.2178698504616447,Creole
spanish,0.6017161818935243,-0.11363620853506333,European Lexifier
english,0.438478925692926,0.48096045397307996,Outgroup
